binomial_nomenclature,common_name,UTC,date,year,month,day,dayofyear,latitude,longitude,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,dewpoint_f,head_index_f,percipitation_mm,visualbility_km,moon_phase,angler,angler_id,harvest_id
Ambloplites rupestris,Rock Bass,2014-06-03 23:45:45 UTC,20140603,2014,06,03,154,34.91519923,-85.15231954,40,90,77,265,5,1018,67,79,2,9,0.326617728,jeffperry,288697,3882312
Ambloplites rupestris,Rock Bass,2015-09-05 14:23:00 UTC,20150905,2015,09,05,248,43.46118744,-76.31703258,44,86,77,146,12,1022,66,77,0,10,0.480390308,wayne13114,281081,3923601
Ambloplites rupestris,Rock Bass,2016-08-29 01:39:39 UTC,20160828,2016,08,29,242,42.36007833,-82.9264,60,85,83,250,10,1020,70,80,0.1,7,0.117363745,xizitro33,254019,3984598
Ambloplites rupestris,Rock Bass,2016-10-09 17:05:00 UTC,20161009,2016,10,09,283,41.24224503,-81.92769885,8,59,63,346,13,1028,40,53,0,10,0.553831942,tortuga_rapido,10162,4309558
Ambloplites rupestris,Rock Bass,2016-09-24 04:57:00 UTC,20160923,2016,09,24,268,44.32357176,-89.21391964,100,65,91,65,17,1021,58,61,16.8,9,0.413417342,flabellare223,359145,4450828
Ambloplites rupestris,Rock Bass,2016-07-04 07:00:00 UTC,20160704,2016,07,04,186,43.13279887,-87.92839855,50,77,81,89,7,1012,60,68,0,10,0.001931266,flabellare223,359145,4478156
Ambloplites rupestris,Rock Bass,2013-07-17 21:03:00 UTC,20130717,2013,07,17,198,43.678426,-73.8551385,12,91,74,270,11,1021,67,79,0.5,10,0.690207608,robbuckbirder,179426,4890443
Ambloplites rupestris,Rock Bass,2013-06-21 23:01:00 UTC,20130621,2013,06,21,172,40.96967116,-75.1236444,6,75,64,217,7,1026,51,70,0,9,0.964927633,neild,257303,4900646
Ambloplites rupestris,Rock Bass,2015-05-01 00:18:00 UTC,20150430,2015,05,01,121,37.04883653,-80.62611401,49,63,83,313,8,1006,47,57,17.5,8,0.908967748,pmk00001,204678,5509225
Ambloplites rupestris,Rock Bass,2017-03-23 21:21:00 UTC,20170323,2017,03,23,82,35.19813221,-84.46445704,100,51,80,131,10,1029,41,46,3.4,7,0.203515311,flabellare223,359145,5991067
Ambloplites rupestris,Rock Bass,2017-05-02 15:52:53 UTC,20170502,2017,05,02,122,44.98836252,-85.61503468,88,38,77,306,25,1002,33,39,4.3,6,0.452103143,frsimkins,224831,6052397
Ambloplites rupestris,Rock Bass,2017-05-03 16:27:58 UTC,20170503,2017,05,03,123,44.97467974,-85.64685356,43,43,67,308,10,1019,31,41,0,10,0.563623088,suechrostek,467647,6074504
Ambloplites rupestris,Rock Bass,2017-05-04 14:03:07 UTC,20170504,2017,05,04,124,44.98953838,-85.62855687,22,47,64,258,9,1017,31,43,0,10,0.656403255,frsimkins,224831,6088159
Ambloplites rupestris,Rock Bass,2017-05-10 16:45:10 UTC,20170510,2017,05,10,130,44.78618867,-85.63557965,56,58,55,181,3,1016,34,51,1.9,9,0.997778586,jeaniewilliams,37314,6161777
Ambloplites rupestris,Rock Bass,2017-05-19 16:50:14 UTC,20170519,2017,05,19,139,45.00906513,-85.61349794,35,54,61,26,17,1024,34,48,0,10,0.432389543,suechrostek,467647,6273680
Ambloplites rupestris,Rock Bass,2017-05-22 21:05:20 UTC,20170522,2017,05,22,142,44.9696889,-85.63491966,72,50,73,247,19,1012,40,49,2.3,6,0.125605005,jeaniewilliams,37314,6324900
Ambloplites rupestris,Rock Bass,2017-05-23 16:20:52 UTC,20170523,2017,05,23,143,44.78500846,-85.63039033,64,58,75,227,8,1009,46,54,13.2,8,0.069585683,jeaniewilliams,37314,6338961
Ambloplites rupestris,Rock Bass,2017-05-25 16:16:44 UTC,20170525,2017,05,25,145,44.97485612,-85.65067554,80,50,82,30,16,1004,43,49,0.2,9,0.00215392,suechrostek,467647,6362760
Ambloplites rupestris,Rock Bass,2017-05-27 19:30:37 UTC,20170527,2017,05,27,147,41.72117384,-85.03479492,62,70,80,91,6,1011,58,65,10.1,9,0.061824825,skittery-thump,334116,6399276
Ambloplites rupestris,Rock Bass,2017-06-06 16:45:35 UTC,20170606,2017,06,06,157,44.97454504,-85.64688072,7,58,69,122,14,1017,45,55,0,10,0.926359989,aodell,478954,6533581
Ambloplites rupestris,Rock Bass,2017-06-08 16:19:30 UTC,20170608,2017,06,08,159,44.97489725,-85.64990938,23,63,67,228,8,1012,48,59,0.9,10,0.991411265,suechrostek,467647,6562420
Ambloplites rupestris,Rock Bass,2015-05-03 16:58:00 UTC,20150503,2015,05,03,123,36.07406667,-87.07837833,9,82,68,196,6,1019,53,70,0,10,0.997661171,quiggifur,505122,6563537
Ambloplites rupestris,Rock Bass,2015-05-09 12:53:00 UTC,20150509,2015,05,09,129,35.39726167,-87.38754833,45,88,82,222,6,1018,68,78,7.1,10,0.708622464,quiggifur,505122,6563542
Ambloplites rupestris,Rock Bass,2015-05-10 21:11:00 UTC,20150510,2015,05,10,130,36.09049167,-87.14510333,30,87,79,168,9,1017,66,78,1,8,0.564921233,quiggifur,505122,6563566
Ambloplites rupestris,Rock Bass,2015-05-16 17:38:00 UTC,20150516,2015,05,16,136,36.09265667,-87.14376333,70,81,92,176,11,1019,69,75,12.5,9,0.028022063,quiggifur,505122,6563568
Ambloplites rupestris,Rock Bass,2015-05-24 18:25:00 UTC,20150524,2015,05,24,144,35.36540833,-87.50893667,29,86,63,158,16,1021,60,76,0.7,10,0.411766085,quiggifur,505122,6563584
Ambloplites rupestris,Rock Bass,2015-05-30 16:01:00 UTC,20150530,2015,05,30,150,36.08887833,-87.14560667,29,84,82,179,12,1016,68,79,6.3,9,0.906883477,quiggifur,505122,6563589
Ambloplites rupestris,Rock Bass,2015-05-31 15:50:00 UTC,20150531,2015,05,31,151,36.01918833,-87.02709667,60,81,92,171,6,1015,70,78,8.1,7,0.95602077,quiggifur,505122,6563597
Ambloplites rupestris,Rock Bass,2015-05-31 17:42:00 UTC,20150531,2015,05,31,151,36.01226333,-87.02303167,60,81,92,171,6,1015,70,78,8.1,7,0.959160501,quiggifur,505122,6563599
Ambloplites rupestris,Rock Bass,2016-04-23 15:52:00 UTC,20160423,2016,04,23,114,35.46083333,-87.52666667,13,76,69,124,8,1017,53,66,0,9,0.980126887,quiggifur,505122,6564980
Ambloplites rupestris,Rock Bass,2016-05-21 15:30:00 UTC,20160521,2016,05,21,142,35.39994,-87.51286,65,76,78,311,10,1017,57,66,0.4,8,0.997858316,quiggifur,505122,6565245
Ambloplites rupestris,Rock Bass,2016-05-08 14:15:00 UTC,20160508,2016,05,08,129,35.40007054,-87.51277149,27,82,55,236,12,1015,54,72,0,10,0.049787797,quiggifur,505122,6565249
Ambloplites rupestris,Rock Bass,2016-06-01 09:04:00 UTC,20160601,2016,06,01,153,36.01972222,-87.02861111,44,90,68,216,7,1013,66,80,0.3,10,0.193628693,quiggifur,505122,6565573
Ambloplites rupestris,Rock Bass,2016-10-02 10:06:00 UTC,20161002,2016,10,02,276,35.44144,-87.75997167,27,79,67,291,5,1017,57,65,0,10,0.019501804,quiggifur,505122,6565919
Ambloplites rupestris,Rock Bass,2017-06-02 12:21:52 UTC,20170602,2017,06,02,153,35.40009776,-87.51275372,21,83,77,88,5,1017,64,75,1.3,10,0.603797782,quiggifur,505122,6566164
Ambloplites rupestris,Rock Bass,2017-06-06 15:52:00 UTC,20170606,2017,06,06,157,41.47842309,-81.82184815,79,61,74,332,20,1011,52,60,3.2,10,0.924519468,tortuga_rapido,10162,6589722
Ambloplites rupestris,Rock Bass,2017-06-12 16:17:59 UTC,20170612,2017,06,12,163,44.97425037,-85.63823948,31,65,76,303,14,1011,58,66,6.7,9,0.91249918,isea,426202,6607796
Ambloplites rupestris,Rock Bass,2017-06-13 21:37:26 UTC,20170613,2017,06,13,164,44.97463162,-85.65064984,23,67,70,85,12,1015,54,65,3.9,10,0.835162533,suechrostek,467647,6633901
Ambloplites rupestris,Rock Bass,2017-06-17 19:01:40 UTC,20170617,2017,06,17,168,44.2604114,-85.93844153,46,76,78,230,5,1003,64,71,4.4,9,0.468727253,erinmcrae,507851,6693782
Ambloplites rupestris,Rock Bass,2017-06-21 01:53:48 UTC,20170620,2017,06,21,172,46.41232893,-94.35530118,18,68,67,336,8,1013,48,61,2.2,10,0.135213815,kevingohman,309614,6737767
Ambloplites rupestris,Rock Bass,2017-06-26 00:47:04 UTC,20170625,2017,06,26,177,46.12782735,-89.86641895,97,59,86,276,8,1017,49,53,4.1,3,0.055259367,dwalc400,492264,6801372
Ambloplites rupestris,Rock Bass,2017-06-26 15:13:00 UTC,20170626,2017,06,26,177,41.48849,-81.93359,13,68,59,272,15,1017,50,65,9.6,9,0.092147222,tortuga_rapido,10162,6816981
Ambloplites rupestris,Rock Bass,2017-07-01 14:52:06 UTC,20170701,2017,07,01,182,35.40016937,-87.51260376,68,87,90,261,8,1017,74,86,8.6,5,0.561211664,quiggifur,505122,6874116
Ambloplites rupestris,Rock Bass,2017-07-03 00:33:00 UTC,20170702,2017,07,03,184,43.30093247,-77.68758975,11,80,80,279,15,1014,64,72,0.8,10,0.692877185,robbuckbirder,179426,6896368
Ambloplites rupestris,Rock Bass,2017-04-29 15:27:00 UTC,20170429,2017,04,29,119,35.01777028,-87.19796062,32,83,73,171,18,1015,66,78,0.7,9,0.143291202,quiggifur,505122,6905225
Ambloplites rupestris,Rock Bass,2017-04-29 15:48:00 UTC,20170429,2017,04,29,119,35.01776389,-87.19783723,32,83,73,171,18,1015,66,78,0.7,9,0.144517137,quiggifur,505122,6905240
Ambloplites rupestris,Rock Bass,2017-03-26 13:02:00 UTC,20170326,2017,03,26,85,35.235902,-87.923078,62,69,94,206,11,1015,58,61,0.8,5,0.0323389,quiggifur,505122,6906812
Ambloplites rupestris,Rock Bass,2017-07-04 17:19:38 UTC,20170704,2017,07,04,185,38.44879158,-90.65833187,15,91,75,109,7,1016,71,86,0.1,10,0.829370882,sonoranaturalist,306074,6920715
Ambloplites rupestris,Rock Bass,2017-07-03 20:15:50 UTC,20170703,2017,07,03,184,46.42676167,-95.82787167,31,83,67,167,14,1017,56,70,0,10,0.762576593,blazeclaw,491170,6935556
Ambloplites rupestris,Rock Bass,2017-02-18 22:22:00 UTC,20170218,2017,02,18,49,46.57225573,-87.41027355,0,45,79,266,18,1000,35,41,0,10,0.490679935,jokurtz,267179,7043183
Ambloplites rupestris,Rock Bass,2017-07-20 23:33:42 UTC,20170720,2017,07,20,201,36.73171379,-83.72562949,0,96,72,338,3,1019,67,86,0.1,9,0.086010366,robert1971,421960,7160697
Ambloplites rupestris,Rock Bass,2017-07-14 16:22:00 UTC,20170714,2017,07,14,195,47.62591748,-94.78312969,0,86,56,209,9,1020,47,68,0,10,0.724116145,sgoodchild,529560,7262404
Ambloplites rupestris,Rock Bass,2017-07-31 19:51:20 UTC,20170731,2017,07,31,212,43.63145,-73.73891333,1,91,68,215,5,1017,59,76,0.5,9,0.616071404,bobby23,516268,7297077
Ambloplites rupestris,Rock Bass,2017-07-31 22:22:00 UTC,20170731,2017,07,31,212,45.32023689,-83.46895114,9,83,77,146,9,1019,63,76,0.3,8,0.625749207,glnrcamp,555096,7299288
Ambloplites rupestris,Rock Bass,2017-08-14 00:25:26 UTC,20170813,2017,08,14,226,43.742459,-73.78488704,44,76,71,308,12,1013,56,69,0.2,9,0.617072528,brook,13710,7485012
Ambloplites rupestris,Rock Bass,2017-06-24 06:04:00 UTC,20170623,2017,06,24,175,44.39662735,-83.97176743,43,74,68,309,10,1002,57,70,6.2,8,0.00150884,jokurtz,267179,7521643
Ambloplites rupestris,Rock Bass,2017-08-20 11:32:00 UTC,20170820,2017,08,20,232,41.05511684,-83.76032352,24,87,79,185,8,1018,65,75,0.2,9,0.022383013,ccarrollc1,571552,7569949
Ambloplites rupestris,Rock Bass,2017-08-18 18:52:48 UTC,20170818,2017,08,18,230,45.56546333,-89.63902167,59,75,78,303,17,1009,58,67,0.3,9,0.11767739,gonefroggin,122251,7575380
Ambloplites rupestris,Rock Bass,2017-08-10 15:10:00 UTC,20170810,2017,08,10,222,41.43355,-81.84297,18,82,69,275,9,1020,61,73,0.4,10,0.913814637,tortuga_rapido,10162,7605073
Ambloplites rupestris,Rock Bass,2017-08-18 17:31:00 UTC,20170818,2017,08,18,230,41.43106,-81.41817,55,84,77,240,16,1009,66,76,0.1,9,0.122045938,tortuga_rapido,10162,7639164
Ambloplites rupestris,Rock Bass,2017-08-22 17:26:18 UTC,20170822,2017,08,22,234,46.55517666,-85.03151452,69,70,90,294,20,1005,60,63,7.7,10,0.011805042,danrabosky,440316,7640050
Ambloplites rupestris,Rock Bass,2017-08-25 02:10:23 UTC,20170824,2017,08,25,237,41.72424667,-80.1496805,74,67,83,324,8,1017,52,57,0.2,5,0.128251107,djm,220315,7643585
Ambloplites rupestris,Rock Bass,2017-09-15 18:30:47 UTC,20170915,2017,09,15,258,43.17912064,-90.02309985,0,82,75,175,16,1013,60,70,0,10,0.228522868,dwalc400,492264,7932738
Ambloplites rupestris,Rock Bass,2017-09-18 16:42:52 UTC,20170918,2017,09,18,261,44.78642114,-85.63651507,38,65,69,26,10,1020,49,60,0,10,0.028111246,frsimkins,224831,7980479
Ambloplites rupestris,Rock Bass,2017-09-22 16:33:11 UTC,20170922,2017,09,22,265,44.97458079,-85.64690913,2,76,83,226,17,1016,66,74,0,10,0.066986895,frsimkins,224831,8038862
Ambloplites rupestris,Rock Bass,2017-09-26 12:40:31 UTC,20170926,2017,09,26,269,44.97462894,-85.64684141,29,74,79,221,15,1012,63,72,0,10,0.354205601,frsimkins,224831,8102260
Ambloplites rupestris,Rock Bass,2017-09-29 20:30:43 UTC,20170929,2017,09,29,272,42.8605341,-89.53534431,17,60,79,122,13,1024,46,53,0,10,0.664390677,dwalc400,492264,8178483
Ambloplites rupestris,Rock Bass,2017-10-05 16:33:32 UTC,20171005,2017,10,05,278,44.974582,-85.64681609,43,58,71,266,18,1019,48,57,0,10,0.998833238,frsimkins,224831,8269752
Ambloplites rupestris,Rock Bass,2014-07-25 18:22:01 UTC,20140725,2014,07,25,206,35.52780931,-82.96321057,77,84,88,109,2,1016,64,71,3.2,7,0.014742346,kgardner,350861,8291365
Ambloplites rupestris,Rock Bass,2017-10-13 16:27:59 UTC,20171013,2017,10,13,286,44.97457492,-85.64692372,83,59,87,237,15,1019,54,57,0,10,0.370406934,frsimkins,224831,8385700
Ambloplites rupestris,Rock Bass,2017-10-13 21:23:54 UTC,20171013,2017,10,13,286,44.97470597,-85.64686119,83,59,87,237,15,1019,54,57,0,10,0.348308256,frsimkins,224831,8390188
Ambloplites rupestris,Rock Bass,2017-11-06 21:01:00 UTC,20171106,2017,11,06,310,43.31749715,-84.16308403,46,41,75,339,13,1021,32,40,0,10,0.900610388,hartleyoutdooreducationcenter,47992,8721939
Ambloplites rupestris,Rock Bass,2014-05-01 22:43:00 UTC,20140501,2014,05,01,121,36.65499753,-82.74478663,53,64,79,255,10,1013,46,54,0.5,7,0.078438294,pmk00001,204678,8884617
Ambloplites rupestris,Rock Bass,2015-05-01 00:18:00 UTC,20150430,2015,05,01,121,37.04883553,-80.62610355,49,63,83,313,8,1006,47,57,17.5,8,0.908967748,pmk00001,204678,8952444
Archoplites interruptus,Sacramento Perch,2016-05-07 19:29:53 UTC,20160507,2016,05,07,128,38.53136134,-121.6454952,100,65,88,175,9,1012,53,58,10.8,8,0.017427848,szjhobbs,537626,7116408
Centrarchus macropterus,Flier,2016-06-15 20:24:57 UTC,20160615,2016,06,15,167,31.712188,-94.449412,44,92,79,215,13,1013,74,89,0.1,10,0.810680293,fishesoftexas,10601,3989872
Centrarchus macropterus,Flier,2016-06-15 23:35:02 UTC,20160615,2016,06,15,167,31.50905,-95.04507,47,93,78,203,12,1013,74,88,0.3,9,0.820330505,fishesoftexas,10601,3996541
Centrarchus macropterus,Flier,2016-06-16 16:25:23 UTC,20160616,2016,06,16,168,31.0502,-94.82414,35,97,74,206,9,1014,74,90,0.1,8,0.868269345,fishesoftexas,10601,3997454
Centrarchus macropterus,Flier,2016-06-16 17:29:10 UTC,20160616,2016,06,16,168,31.06059,-94.83565,35,97,74,206,9,1014,74,90,0.1,8,0.87109423,fishesoftexas,10601,3997717
Centrarchus macropterus,Flier,2016-08-05 18:16:02 UTC,20160805,2016,08,05,218,31.15352833,-94.87806167,8,100,63,212,8,1013,73,94,0,10,0.088948019,sarahroberts,38701,4013177
Centrarchus macropterus,Flier,2016-09-30 21:30:00 UTC,20160930,2016,09,30,274,34.589144,-78.44734,75,81,82,182,7,1016,72,81,12.3,9,0.000492173,tallastro,256327,4291663
Centrarchus macropterus,Flier,2016-05-08 17:01:00 UTC,20160508,2016,05,08,129,38.01667667,-77.39075914,18,73,52,299,10,1010,46,65,0,10,0.055901783,pmk00001,204678,5538868
Centrarchus macropterus,Flier,2016-10-30 18:18:00 UTC,20161030,2016,10,30,304,38.19194934,-77.2032051,40,81,64,219,11,1015,56,70,0,10,0.001380402,pmk00001,204678,5540658
Centrarchus macropterus,Flier,2016-10-30 17:00:00 UTC,20161030,2016,10,30,304,38.03363554,-77.33227295,40,81,64,219,11,1015,56,70,0,10,0.001354361,pmk00001,204678,5540661
Centrarchus macropterus,Flier,2017-04-02 14:49:02 UTC,20170402,2017,04,02,92,30.80453,-92.29112167,100,76,84,129,14,1011,65,70,8.2,8,0.370496165,robjamax,11383,5543596
Centrarchus macropterus,Flier,2015-03-29 19:46:00 UTC,20150329,2015,03,29,88,38.16642109,-77.30616782,6,51,41,291,10,1026,12,38,0,10,0.736666509,pmk00001,204678,5966491
Centrarchus macropterus,Flier,2015-09-27 19:54:00 UTC,20150927,2015,09,27,270,38.13001973,-77.27290214,86,80,82,75,14,1024,64,72,0.4,10,0.998624968,pmk00001,204678,6098684
Centrarchus macropterus,Flier,2017-05-21 17:39:00 UTC,20170521,2017,05,21,141,38.0613742,-77.3793408,86,68,77,109,9,1024,56,63,0.2,10,0.225428242,pmk00001,204678,6520174
Centrarchus macropterus,Flier,2017-06-11 18:10:23 UTC,20170611,2017,06,11,162,31.33703833,-93.362145,21,81,85,126,8,1015,70,76,3.1,8,0.955326881,pmpalmer,393953,6595097
Centrarchus macropterus,Flier,2017-10-04 15:24:45 UTC,20171004,2017,10,04,277,33.81539054,-80.82804479,1,77,70,69,11,1028,58,70,0,10,0.983360992,nv_multispeciesfishing,535133,8260025
Centrarchus macropterus,Flier,2017-10-08 18:37:01 UTC,20171008,2017,10,08,281,37.01900101,-90.19326019,81,70,87,76,7,1007,63,68,0,10,0.88249389,quiggifur,505122,8314465
Centrarchus macropterus,Flier,2017-10-08 18:33:31 UTC,20171008,2017,10,08,281,37.01898956,-90.19327545,81,70,87,76,7,1007,63,68,0,10,0.882676336,quiggifur,505122,8314470
Centrarchus macropterus,Flier,2017-10-08 18:31:02 UTC,20171008,2017,10,08,281,37.01900101,-90.19340515,81,70,87,76,7,1007,63,68,0,10,0.88280571,quiggifur,505122,8314473
Centrarchus macropterus,Flier,2017-10-08 17:57:53 UTC,20171008,2017,10,08,281,37.0189209,-90.19317627,81,70,87,76,7,1007,63,68,0,10,0.88452666,quiggifur,505122,8314482
Centrarchus macropterus,Flier,2017-10-08 17:57:14 UTC,20171008,2017,10,08,281,36.94919205,-90.16017151,81,70,87,76,7,1007,63,68,0,10,0.884560291,quiggifur,505122,8314491
Centrarchus macropterus,Flier,2017-10-08 17:54:55 UTC,20171008,2017,10,08,281,37.01906586,-90.19325256,81,70,87,76,7,1007,63,68,0,10,0.884680121,quiggifur,505122,8314499
Centrarchus macropterus,Flier,2017-10-08 17:52:55 UTC,20171008,2017,10,08,281,37.01885986,-90.19322968,81,70,87,76,7,1007,63,68,0,10,0.884783527,quiggifur,505122,8314508
Centrarchus macropterus,Flier,2017-10-08 17:48:28 UTC,20171008,2017,10,08,281,37.01860046,-90.19348907,81,70,87,76,7,1007,63,68,0,10,0.885013457,quiggifur,505122,8314572
Centrarchus macropterus,Flier,2017-10-08 17:45:07 UTC,20171008,2017,10,08,281,37.01873398,-90.19366455,81,70,87,76,7,1007,63,68,0,10,0.885186416,quiggifur,505122,8314596
Centrarchus macropterus,Flier,2017-10-08 17:23:19 UTC,20171008,2017,10,08,281,37.01905823,-90.19346619,81,70,87,76,7,1007,63,68,0,10,0.886309112,quiggifur,505122,8314886
Centrarchus macropterus,Flier,2017-10-08 17:22:10 UTC,20171008,2017,10,08,281,37.01905823,-90.19347382,81,70,87,76,7,1007,63,68,0,10,0.886368201,quiggifur,505122,8314889
Centrarchus macropterus,Flier,2017-10-08 17:20:56 UTC,20171008,2017,10,08,281,36.94919205,-90.16017151,81,70,87,76,7,1007,63,68,0,10,0.886431556,quiggifur,505122,8314893
Centrarchus macropterus,Flier,2017-10-08 17:17:48 UTC,20171008,2017,10,08,281,37.01909256,-90.19341278,81,70,87,76,7,1007,63,68,0,10,0.886592441,quiggifur,505122,8314897
Centrarchus macropterus,Flier,2017-10-08 17:16:32 UTC,20171008,2017,10,08,281,37.01908875,-90.19345856,81,70,87,76,7,1007,63,68,0,10,0.886657451,quiggifur,505122,8314901
Centrarchus macropterus,Flier,2017-10-08 17:12:27 UTC,20171008,2017,10,08,281,37.01920319,-90.19360352,81,70,87,76,7,1007,63,68,0,10,0.88686691,quiggifur,505122,8314905
Centrarchus macropterus,Flier,2017-10-30 16:39:59 UTC,20171030,2017,10,30,303,34.2905888,-78.47173657,0,54,58,273,7,1014,31,46,0,10,0.762163417,nv_multispeciesfishing,535133,8650401
Centrarchus macropterus,Flier,2014-03-16 14:07:00 UTC,20140316,2014,03,16,75,38.08287057,-77.29911664,59,42,80,51,14,1021,30,36,11,7,0.999187267,pmk00001,204678,8884565
