dayofyear,angler,harvest_size,month,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,dewpoint_f,head_index_f,percipitation_mm,visualbility_km,moon_phase,angler_id,harvest_id
21,redheron_lcoley,1,01,43,68,80,235,7,1019,51,61,0.2,7,0.029673637,660306,8292670
22,joemdo,1,01,13,85,79,189,23,1009,69,79,0,9,0.257019847,349183,4996083
22,nv_multispeciesfishing,1,01,89,70,94,161,16,999,62,64,28,5,0.25244962,535133,7083499
23,robmartin3d,1,01,39,50,95,115,5,1024,43,45,0,10,0.389408486,4377,9596111
24,cowboymike,1,01,63,70,70,204,18,1004,43,55,0,10,0.096823665,443392,5592460
24,kenzie401,1,01,0,70,70,276,14,1012,50,62,0,10,0.093822305,207281,5001930
24,rebecca_nh,1,01,47,64,80,179,15,1018,44,50,0,10,0.993362008,89772,2614327
25,mikaelb,1,01,6,61,57,153,9,1021,30,45,0,10,0.004343448,9685,200966
26,carleybrabant,1,01,50,58,42,230,13,1023,28,50,0,10,0.017392245,347638,5168209
27,casey5,1,01,5,47,62,265,14,1014,30,42,0,10,0.000612098,127450,5897501
27,reallifeecology,1,01,85,39,70,275,12,1020,27,35,0.1,10,0.000432853,15723,5015678
29,gregb,1,01,82,71,78,178,14,1013,53,61,0.1,10,0.775708246,119114,2634292
30,gfrazier1866,1,01,100,40,98,244,16,1005,31,34,0.2,8,0.643746411,683297,8556843
30,jon_sullivan,1,01,8,69,44,315,11,1022,35,59,0,10,0.904194144,1115,950006
31,cdmar10,1,01,77,75,80,123,15,1019,64,72,2.3,9,0.54523713,76011,2641545
32,nv_multispeciesfishing,1,02,4,70,69,232,15,1018,46,59,0,10,0.225970811,535133,7083306
32,oz4caster,1,02,13,75,74,156,17,1008,50,62,0,10,0.43702533,46101,2640425
32,umpquamatt,1,02,14,55,77,123,4,1027,29,36,0.1,8,0.019215054,416993,6019562
33,pmk00001,2,02,38,53,90,222,9,1017,39,41,0.2,8,0.123610923,204678,8884428.5
34,fundad,1,02,5,77,47,245,4,1018,40,66,0,10,0.867070302,27908,9866982
34,kgardner,2,02,50,45,60,167,4,1029,17,31,0,10,0.8615589,350861,9723760
35,desversen,1,02,52,36,63,142,5,1016,19,31,0.2,9,0.781550859,227941,9729906
35,troutbum1374,1,02,69,40,87,189,8,1021,20,22,0,10,0.995275214,114381,1731601
36,irishninja,2,02,14,49,67,202,9,1013,26,36,0.1,10,0.677217387,399422,5057575.5
36,multispeciesfishingflorida,1,02,57,84,77,181,8,1021,59,72,0.1,9,0.694026522,415132,5200526
36,nightflierone,1,02,61,79,87,165,16,1019,64,70,0.8,7,0.674089377,452691,5728195
39,djuth,1,02,39,56,84,152,6,1013,35,41,0,10,0.807236962,157587,2449918
39,jgarwood,1,02,39,57,77,204,11,1024,46,53,0,10,0.985719567,329176,6767440
39,matthewherron,4,02,82,68,92,192,8,1017,57,59,0.1,4,0.801911541,17201,1221241.5
39,wgsflyfish,1,02,7,75,55,266,18,1009,44,66,0,10,0.943355266,454405,5812871
40,riversedge,1,02,76,63,83,235,21,1010,49,55,6.2,9,0.721346513,30627,3987673
41,griff,1,02,44,67,72,190,24,1020,46,55,0,10,0.999586683,108372,5115160
41,kalamurphyking,2,02,2,71,71,159,19,1017,49,60,0,10,0.639557925,350225,7458775.5
42,birkin,1,02,7,62,76,350,10,1024,39,48,0,10,0.997451337,282714,5208010
42,trent,2,02,3,66,67,215,14,1020,38,57,0,10,0.148675714,178246,2671143.5
43,pmk00001,2,02,63,67,77,176,14,1010,43,53,3.4,10,0.975296624,204678,5516702.5
44,jawadfrangieh,1,02,35,47,72,230,6,1024,30,39,2.6,9,0.040061462,443460,9854077
45,pmk00001,1,02,2,69,74,75,15,1024,47,56,0,10,0.43283497,204678,5527995
46,diskus,1,02,92,69,76,189,10,1017,51,59,0,9,0.763593027,229319,5221788
48,aaronramon,2,02,29,73,75,194,19,1012,50,59,0,10,0.596178864,62176,5127953.5
48,anadenova,1,02,7,68,51,150,11,1023,37,56,0,10,0.754779115,175666,2691501
48,jeheiple,1,02,1,57,80,221,13,1001,37,44,0,10,0.58016457,593014,8526781
48,kylefitzroy,1,02,68,45,81,296,8,1019,32,39,0,8,0.754123903,165609,2692446
48,wgsflyfish,1,02,23,69,58,186,9,1012,40,55,0,10,0.599340675,454405,5939382
49,jokurtz,1,02,0,45,79,266,18,1000,35,41,0,10,0.490679935,267179,7043183
49,multispeciesfishingflorida,1,02,64,84,69,150,11,1017,60,73,0,10,0.523587867,415132,5200533
49,stephen54,1,02,100,51,96,210,17,1022,44,45,1,8,0.529823672,350459,5143306
50,kylefitzroy,1,02,76,40,72,152,10,1032,22,31,0,10,0.913521973,165609,2698321
50,sethhof,1,02,9,65,64,302,12,1015,40,52,0,10,0.414926306,624798,7882617
51,riversedge,1,02,33,68,62,89,6,1022,43,57,0,10,0.308996341,30627,5144130
52,gerri,1,02,6,46,77,111,5,1023,31,37,0,10,0.982805141,181698,2702833
52,jay36,1,02,60,35,84,259,16,1026,24,29,0.3,10,0.975144088,502548,6535230
52,sheaglassman,1,02,76,72,66,96,6,1022,49,62,0,10,0.297172759,549977,7234876
53,amarsh,1,02,9,75,72,124,5,1013,53,67,0,10,0.131453453,106723,1562909
53,moynihac,1,02,75,69,86,279,13,1022,58,63,2.9,9,0.136221553,103892,1527891
53,rebeccalexa,1,02,99,48,87,257,15,1013,42,45,21.8,8,0.212629946,99753,5151040
54,nv_multispeciesfishing,1,02,25,78,71,77,7,1012,57,69,0,10,0.086842241,535133,7082136
55,brianw,1,02,100,52,94,35,23,996,40,45,16.9,5,0.967911244,33892,2712816
55,jcs13,1,02,51,75,86,77,9,1012,59,65,0.1,7,0.03514064,411512,5170465
55,kimberlietx,1,02,25,59,70,319,25,1020,34,50,0.2,9,0.961950035,127188,2714436
56,allenbartell,2,02,92,67,95,76,8,1017,61,62,2.3,3,0.163433114,13257,546239.5
56,kimberlietx,1,02,8,56,67,243,15,1026,34,49,0,10,0.910817521,127188,2716262
58,jyatestu,3,02,23,37,60,224,13,1018,18,30,0,10,0.792681817,142612,3410162
58,mikaelb,1,02,14,71,71,216,10,1024,46,56,0,10,0.78006569,9685,2726839
59,multispeciesfishingflorida,1,02,20,82,85,116,24,1024,70,79,0,10,0.065331092,415132,5200116
60,marillionjade24,1,03,38,66,63,124,22,1018,48,62,0,10,0.122258967,143755,5208452
61,debontmarc,1,03,3,62,70,195,10,1023,33,45,0,10,0.589407144,213143,2916295
61,jeremymaikoetter,2,03,100,63,95,33,13,1021,55,58,2.8,2,0.930093077,69593,1267872.5
61,photolizm,1,03,3,58,47,238,15,1026,31,51,0,10,0.216951414,249927,5212294
62,feather,1,03,79,61,79,289,9,1019,43,50,0,10,0.319152659,104877,5218109
62,jon_sullivan,1,03,32,67,78,81,13,1013,52,58,0.1,10,0.323035195,1115,8022523
62,loarie,1,03,27,60,78,240,7,1019,44,53,0,9,0.625068773,477,208718
62,nv_multispeciesfishing,2,03,29,59,46,325,17,1020,35,56,4.8,10,0.240295903,535133,7083424.5
63,bryanto,1,03,40,35,84,176,11,1035,23,27,0.1,10,0.75400967,3499,3714921
63,quiggifur,2,03,11,63,41,185,9,1033,26,49,0,10,0.430756803,505122,6906804.5
63,trent,4,03,26,71,69,346,21,1015,48,64,0.1,10,0.320801698,178246,2765470
63,umpquamatt,1,03,33,57,70,192,13,1021,37,47,0.8,10,0.001810534,416993,6019577
64,hayden_yancer,1,03,11,66,44,4,28,1021,37,56,0,10,0.397986372,13780,211662
64,tabitha5730,1,03,19,71,60,123,8,1021,41,57,0,10,0.224943153,160870,2744241
65,fishesoftexas,1,03,17,56,53,52,16,1035,25,43,0,10,0.988257326,10601,1301815
65,royaltyler,1,03,2,67,71,236,5,1022,45,56,0,9,0.160004311,18446,2748990
67,fishesoftexas,1,03,97,62,87,105,15,1022,52,56,4.8,7,0.921686685,10601,1306269
67,fm5050,1,03,21,42,86,285,15,1022,33,37,0,10,0.916651971,6075,1284325
67,mracre,1,03,100,66,74,67,10,1024,53,61,1.2,7,0.840407063,4568,5618136
67,oddfitz,1,03,0,78,32,121,8,1021,27,59,0,10,0.834828523,115786,5275305
68,confrench33,1,03,88,79,87,165,26,1006,66,72,1.8,6,0.000515811,14403,2763022
68,gianvir,1,03,4,65,62,118,5,1021,39,55,0,10,0.904118734,739751,9529403
69,griff,1,03,88,70,85,34,12,1020,59,64,0.6,6,0.953516332,108372,5296935
70,billyb3,1,03,90,73,81,204,14,1018,55,63,0,8,0.043791932,84102,2813162
70,djuth,1,03,90,75,68,194,14,1017,55,67,0.3,10,0.044840176,157587,2904416
71,heteromyid,1,03,100,75,92,129,17,1011,68,72,18.7,9,0.068313544,31793,7684328
71,kylefitzroy,2,03,49,67,68,341,11,1023,49,62,0,10,0.112102752,165609,2777144
71,nv_multispeciesfishing,4,03,77,82,74,244,11,1023,61,73,0,9,0.091316966,535133,7095350.25
71,pmk00001,1,03,0,60,53,199,13,1033,30,47,0,10,0.866839321,204678,9561706
73,bll634,2,03,0,67,53,30,7,1024,36,54,0,10,0.946351793,388036,5322054
73,moorech,1,03,55,53,66,302,20,1017,34,45,2,9,0.945519912,394350,5414355
73,steveprescott,1,03,83,77,84,192,11,1016,63,69,0.9,8,0.287054891,444878,5606827
74,hedvika,1,03,0,47,44,320,14,1026,16,37,0,10,0.896300361,394849,6113403
74,jbroadhead,1,03,40,72,78,209,11,1009,58,65,0.7,9,0.391287415,228699,8582565
74,livbailey,1,03,0,47,46,321,15,1026,18,38,0,10,0.895995345,394855,5331067
74,rayray,1,03,19,77,55,42,14,1024,47,67,0,10,0.279542848,274968,6991375
74,robert_page,2,03,0,47,46,321,15,1026,18,38,0,10,0.895961039,394277,5324507.5
75,flounderpounder,1,03,0,47,44,293,16,1026,18,39,0,10,0.828810156,425806,5381956
75,pmk00001,1,03,59,42,80,51,14,1021,30,36,11,7,0.999187267,204678,8884565
75,txfishes,1,03,9,85,66,187,28,1009,48,66,0,10,0.218149849,91209,8179922
75,wavelinks,1,03,45,75,81,282,10,1009,59,66,0.1,7,0.506393734,382513,4879133
76,kimberlietx,1,03,92,80,76,191,25,1017,62,71,0.5,9,0.757720218,127188,5403339
76,leecain,1,03,59,54,82,218,12,1020,45,50,1.2,8,0.089756183,25763,4872838
77,photon-hog,1,03,11,62,65,200,8,1016,46,55,0,9,0.407427062,20004,357235
78,bluegill,1,03,88,84,81,203,8,1015,66,75,0,6,0.78749901,157966,2799237
78,fishesoftexas,7,03,98,75,90,189,15,1014,67,72,0.8,10,0.005758876,10601,1358094.714
78,flabellare223,1,03,0,58,62,135,9,1026,34,47,0,10,0.603552091,359145,5990990
78,mkruer11,1,03,0,58,71,99,5,1027,35,44,0,10,0.571253388,421506,5547913
78,toxmace,1,03,0,62,50,340,16,1021,37,56,0,10,0.574953028,341557,5403911
80,devon3,2,03,0,56,56,345,14,1030,31,48,0,10,0.940755102,176111,2822515.5
80,graysquirrel,1,03,12,70,68,283,7,1014,39,50,0,10,0.746559709,17695,9849069
80,jdl1396,1,03,7,60,63,293,8,1022,35,48,0,10,0.461020006,428392,5414136
80,karina17,1,03,1,83,70,190,22,1016,59,71,0,10,0.391218122,329169,5418928
80,quiggifur,1,03,55,48,61,298,15,1021,30,43,1,10,0.925367292,505122,6564987
80,trent,1,03,0,56,56,345,14,1030,31,48,0,10,0.93919824,178246,2813317
81,donquixote,2,03,31,77,80,338,13,1017,57,67,0.2,8,0.09317816,77664,1329111
82,flabellare223,1,03,100,51,80,131,10,1029,41,46,3.4,7,0.203515311,359145,5991067
82,genebem,2,03,10,76,78,155,12,1019,56,64,0,8,0.167659182,43801,1334033.5
82,kevinemetcalf,1,03,71,45,63,71,11,1034,28,40,2.4,10,0.217931511,286459,5448231
83,bfocht13,1,03,53,81,84,170,10,1017,60,70,0,5,0.233976336,84802,1342183
83,flabellare223,1,03,69,68,77,162,17,1028,47,55,0.4,9,0.138694087,359145,5991069
83,jjmike,1,03,1,75,52,210,13,1022,42,61,0,10,0.998951206,239733,3217871
83,kgardner,1,03,70,66,87,197,7,1021,47,55,0.4,4,0.244874339,350861,8291900
83,maadas,1,03,85,65,89,192,21,1020,55,58,1,7,0.126336535,470294,6235269
83,mfria631,1,03,100,66,80,183,21,1009,55,59,2.7,9,0.999460861,318214,4009671
84,cait_seiler,1,03,88,65,93,225,9,1021,58,60,1.4,7,0.077652557,42441,5452515
84,crittertrackerboss1,1,03,56,77,86,170,6,1022,54,60,2.8,7,0.060985073,253359,5471679
84,daniel112,3,03,2,73,54,300,17,1014,46,64,0,10,0.066837936,284401,5459191
84,djuth,1,03,19,71,56,183,16,1013,45,61,0,10,0.985632448,157587,2903234
84,jeheiple,1,03,9,74,65,325,13,1013,47,62,0,10,0.047130051,593014,8526765
84,mamabeardavis,1,03,79,69,72,180,21,1013,50,60,3.7,8,0.98648727,185708,3108557
84,mkosiewski,1,03,30,73,80,219,14,1025,55,64,0,9,0.061870312,360028,5587364
84,pmk00001,1,03,46,78,80,219,9,1022,57,68,0.3,10,0.077874273,204678,5497821
84,quiggifur,2,03,82,64,90,166,19,1016,58,61,8.9,8,0.078399586,505122,6906809.5
84,tallastro,1,03,64,71,83,214,12,1025,55,64,0.3,7,0.068762753,256327,5479317
85,allenbartell,1,03,34,58,74,134,14,1023,41,50,1,8,0.201421437,13257,584887
85,john65,1,03,89,45,81,263,15,1013,26,38,2.3,9,0.953073953,199093,2829161
85,kgardner,1,03,75,69,90,219,11,1011,54,57,9,6,0.445754738,350861,8291915
85,quiggifur,10,03,62,69,94,206,11,1015,58,61,0.8,5,0.030078086,505122,6906814.6
86,blubayou,1,03,0,79,49,293,13,1022,42,65,0,10,0.548561209,18552,1343797
86,casperbrett,1,03,7,68,74,134,9,1018,43,51,0,10,0.904384098,194091,2849172
86,djuth,1,03,75,61,70,108,6,1023,39,50,0.2,10,0.910828667,157587,2903169
86,jennifer64,1,03,59,65,60,68,8,1023,39,54,0.4,9,0.904619821,204689,2839405
86,mikethenaturalist,1,03,96,57,81,231,19,1009,37,45,7.8,7,0.944029535,214368,2917256
86,nationalyouthambassador,1,03,10,47,69,39,9,1026,26,37,0,10,0.897048815,55824,3207515
86,oddfitz,1,03,30,76,73,336,16,1011,60,70,3.3,10,0.002082673,115786,5483260
87,abeck365,1,03,78,77,76,259,11,1014,58,69,5.3,9,0.007876372,31231,8269142
87,hope123,1,03,92,51,90,246,18,1020,45,47,8.7,8,0.000687042,184233,5493993
87,quiggifur,2,09,64.5,57.5,77,198.5,12,1021,42,51,1.9,8,0.746370553,505122,6564153
87,steven_wilson,1,03,97,61,78,276,8,1012,53,59,6.3,9,0.008797402,410670,5494862
88,aaronramon,2,03,100,77,61,266,13,1006,54,73,6.7,8,0.035968691,62176,5503821.5
88,kentprochazka,1,03,0,78,60,57,10,1019,48,63,0,10,0.765182288,176645,2849151
88,paigepolasek,1,03,13,71,70,116,10,1021,44,56,0,9,0.761039481,175858,2844006
88,pmk00001,1,03,6,51,41,291,10,1026,12,38,0,10,0.736666509,204678,5966491
89,chrispincetich,1,03,49,64,86,200,10,1019,50,55,0,9,0.850746727,6349,226778
89,codyfrazier,1,03,89,70,82,140,18,1015,54,63,0.2,9,0.66668881,175861,2849883
89,devon3,9,03,89,70,82,140,18,1015,54,63,0.2,9,0.683077251,176111,2848942.444
89,musicwolf,2,03,54,64,79,250,19,1020,41,47,8.3,8,0.823956483,14571,1376724
89,tkoffel,1,03,60,47,82,171,19,1017,33,39,1.1,9,0.00022095,320666,4273062
90,fisherray,1,03,13,56,68,108,7,1012,31,42,0.1,10,0.01420119,33975,642956
90,griff,5,03,67,80,87,178,25,1006,66,71,3.5,8,0.579880795,108372,2858125.4
90,laurentaake,1,03,16,69,74,179,18,1018,46,54,0,10,0.005111108,33668,626498
90,nativefishnic,1,03,67,80,87,178,25,1006,66,71,3.5,8,0.606732594,16784,2857803
91,ggoatboy,2,04,73,52,61,157,9,1023,29,43,0,10,0.257810468,276236,5556270
91,quiggifur,3,04,100,68,65,19,7,1018,46,59,0,6,0.276737294,505122,6906307
91,robbuckbirder,1,04,45,37,68,270,25,1009,21,34,0.3,10,0.693457724,179426,4891606
91,virginiasanders,1,04,61,80,86,167,19,1013,64,70,0.6,9,0.052976751,31500,604089
92,andrewsmai,1,04,100,76,89,200,21,1012,67,72,4,9,0.365630169,203462,2962274
92,benzintr,2,04,37.5,62.5,76.5,201,12.5,1022,41,49,0.2,9,0.974592303,79060,1360077
92,fishorwork,1,04,100,74,78,165,13,1006,61,68,10.7,7,0.363359251,41957,5540962
92,jokurtz,1,04,1,85,69,124,9,1021,58,70,0,10,0.117146256,267179,3635963
92,quiggifur,1,04,100,72,62,149,10,1016,47,62,1.1,9,0.363460856,505122,6920224
92,robjamax,6,04,100,76,84,129,14,1011,65,70,8.2,8,0.371422099,11383,5543588.167
92,skatertre6892,1,04,100,79,64,114,6,1016,52,68,0,10,0.400497252,454246,7126358
93,aaronramon,3,04,100,79,56,248,12,1007,50,68,6.9,10,0.499098736,62176,5558482
93,benlabay,3,04,65,82,88,206,18,1007,68,74,14,8,0.17648493,10602,607365.3333
93,jokurtz,2,04,24,85,66,102,19,1020,65,80,0,10,0.996689043,267179,3636071.5
93,mjcasarez,1,04,64,82,88,201,17,1007,68,74,15.7,8,0.195417843,11481,606826
93,reallifeecology,1,04,48,68,66,337,17,1018,44,59,2.2,9,0.294953824,15723,4228947
93,wayne13114,1,04,63,46,76,259,14,1000,31,38,2.6,9,0.306587663,281081,3959236
94,joshreider,1,04,25,43,50,287,29,1011,16,35,0.9,9,0.193142726,394307,5800351
94,knightericm,1,04,0,74,48,220,9,1023,38,59,0,10,0.196927855,23016,2896996
94,krstldwn,1,04,37,69,50,83,19,1027,37,56,0.1,10,0.999611395,72360,1364389
94,rayray,1,04,41,53,73,307,28,1006,39,48,3.2,9,0.999363724,274968,3719640
94,tayluhbee,1,04,21,64,58,316,18,1018,38,55,0.6,10,0.999095864,51310,1438772
94,tortuga_rapido,5,04,100,56,79,255,22,1001,46,52,8.1,6,0.607598618,10162,5602533.6
95,jake_hoyle,1,04,0,80,61,209,13,1021,48,66,0,10,0.147512469,318384,4007164
95,tortuga_rapido,8,04,100,50,79,84,12,1010,40,46,3.1,8,0.711212612,10162,5603797.375
96,ari10,1,04,100,72,71,251,7,1017,52,63,0,10,0.739318769,484431,7595856
96,austinkaulfus,1,04,100,65,47,330,22,1015,36,59,0,10,0.743738107,343814,6072507
96,benzintr,2,04,49,68,72,213,9,1025,41,53,0.1,9,0.949098462,79060,1372487.5
96,gianvir,1,04,11,73,52,138,6,1017,39,62,0,10,0.793653436,739751,9283576
96,kelly20,1,04,13,76,52,232,7,1022,44,65,0,10,0.823534199,428179,5594781
96,nv_multispeciesfishing,1,04,1,59,51,6,15,1022,35,54,0,10,0.061879975,535133,7092238
96,pmk00001,1,04,9,61,65,100,8,1024,33,46,0,10,0.423641452,204678,8884568
96,samjonsnell,1,04,100,77,60,320,13,1013,51,69,0.8,9,0.741038199,437873,5894126
96,wayne13114,1,04,14,38,67,322,19,1015,24,35,0,10,0.977137888,281081,9627571
97,briangratwicke,1,04,15,60,53,31,13,1011,34,52,0,10,0.991765342,3406,70488
97,omarcc,1,04,25,65,47,342,7,1022,35,56,0,10,0.839804235,443304,5591574
97,stephaniewilliams2,1,04,38,77,50,335,16,1015,50,71,1.3,10,0.83785632,424222,5597618
98,garrett20,1,04,38,74,59,194,17,1010,49,63,0,10,0.946065696,443406,5629556
98,harvestman,1,04,11,58,58,90,12,1023,29,44,0,10,0.979430464,4740,63207
98,jaywang3,1,04,63,83,65,184,19,1016,57,72,0.3,10,0.9419855,403931,5614719
98,liddell4,1,04,1,79,55,212,14,1016,44,64,0,10,0.003409922,444585,5604481
98,madcap3693,1,04,4,55,43,323,21,1018,21,43,0,10,0.986452885,135019,6164338
98,mattgeo1990,1,04,63,79,64,181,18,1014,53,68,0.2,10,0.934330676,705575,8805446
98,quiggifur,4,04,6.25,63,47.75,293.25,5.25,1016,29.25,51.75,0,10,0.942752891,505122,6905578.75
99,cmoret,1,04,100,79,65,189,29,1009,59,73,0.2,10,0.98189454,388818,5630398
99,fishesoftexas,8,04,63,80,55,99,14,1019,48,67,0,10,0.034878501,10601,2982840.75
99,jakegthatsme,3,04,63,80,55,99,14,1019,48,67,0,10,0.033820954,180686,2902001.333
99,majo00,1,04,31,60,83,340,12,1013,43,48,0.1,7,0.93296414,58489,4424183
99,sfrancos,2,04,100,77,68,190,26,1010,59,70,0.7,10,0.97382995,441721,5624116
100,gonodactylus,1,04,88,43,73,19,22,1009,36,41,4.4,7,0.996702641,188597,5644789
100,grant12,1,04,24,71,55,276,14,1012,44,61,0,10,0.037636996,295587,3984138
100,kgardner,1,04,25,74,54,192,7,1021,40,61,0,10,0.997715175,350861,8318784
100,mccbio1,1,04,13,76,52,216,11,1024,45,64,0,10,0.996764363,583231,8091388
100,nv_multispeciesfishing,1,04,0,61,45,299,19,1017,28,55,0,10,0.096295133,535133,7095315
100,reallifeecology,2,04,13,62,53,48,11,1024,33,51,0,10,0.084857058,15723,3105555
100,regiets99,1,04,88,72,52,215,22,1015,47,65,0.6,10,0.996780094,507460,6864180
101,blair4,1,04,85,83,78,176,24,1014,63,72,0.2,10,0.150880468,208726,2911348
101,cohen,1,04,85,83,78,176,24,1014,63,72,0.2,10,0.154531803,10505,2914892
101,grayange,2,04,75,76,59,208,6,1023,51,66,1.8,10,0.997956674,437172,5647861
101,jbrennan,1,04,85,83,78,176,24,1014,63,72,0.2,10,0.147486645,148339,2911531
101,joshreider,1,04,5,60,73,304,18,1018,37,46,0,10,0.540874845,394307,5799915
101,kucycads,1,04,25,81,68,88,9,1022,56,71,0,10,0.996433881,9531,5929205
101,leecain,1,04,45,51,80,313,15,1027,40,47,0.9,10,0.021719995,25763,9418809
101,quiggifur,1,04,3,73,68,42,9,1023,45,60,0,10,0.545073502,505122,6563356
101,reallifeecology,3,04,75,76,59,208,6,1023,51,66,1.8,10,0.996459517,15723,5652697
101,robertsmith,1,04,75,76,59,208,6,1023,51,66,1.8,10,0.997887346,447708,5649419
101,tcurtis,1,04,86,38,75,154,17,1021,24,30,1.5,9,0.163246141,147884,2914070
102,aaronramon,3,04,100,76,74,110,12,1020,60,68,1,8,0.976406742,62176,5671898.333
102,amiacalva,2,04,75,74,76,97,5,1023,59,69,1.3,4,0.978067269,369934,5669514
102,andyk,1,04,71,79,86,173,19,1013,65,71,4,9,0.434739921,30829,1391103
102,bryce10,1,04,50,83,84,196,23,1012,65,74,13.3,8,0.263240445,214714,2939518
102,cullin,2,04,4,76,41,174,10,1018,37,63,0,10,0.643372839,298425,4212838.5
102,jguthrie,2,04,63,76,69,48,7,1025,54,67,1.1,6,0.976976768,98208,5855364
102,jimmalefyt,1,04,100,59,67,303,13,1021,45,58,1.6,7,0.988920771,318303,5678525
102,mikepatterson,1,04,81,53,86,313,10,1018,46,49,0.4,9,0.251042294,15366,2921131
102,quiggifur,1,04,26,75,79,147,12,1021,55,62,0.1,10,0.439875646,505122,6563359
102,rayray,1,04,5,64,63,261,12,1025,35,48,0,10,0.423713239,274968,3719641
102,teddy,1,04,5,67,65,264,7,1025,38,54,0,10,0.430153782,208262,2881848
102,zman1,1,04,14,67,61,273,13,1026,37,54,0,10,0.42511826,85400,1394387
103,aaronramon,1,04,100,76,74,150,12,1019,60,69,2.2,5,0.942601373,62176,5677082
103,devon3,16,04,65,67,77,53,16,1019,54,62,0.2,9,0.356824489,176111,2924676.813
103,jguthrie,1,04,25,77,64,130,3,1023,55,70,0.1,10,0.949683862,98208,5852855
103,jon_sullivan,1,04,63,49,90,316,13,1021,42,44,0.4,6,0.115977338,1115,959614
103,jwright316,1,04,57,66,74,59,19,1019,55,63,0.6,9,0.365552889,206252,2933758
